number,previousName,currentName,address,age,category
5F028,花园住宅,虹口区第三中心幼儿园,山阴路181号,1912,三
5F029,广东浸信会，崇德小学,新乡路幼儿园,川公路109号、新乡路66号,1931,三
5F030,公济医院,北外滩苏宁广场（苏宁宝丽嘉酒店）,北苏州路190号、天潼路365号,1877,三
5F031,金山大楼,金山大楼,金山路43-61号（单号）、大名路60-86（双号）,1903,二
5F032,扆虹园,住宅,武进路453-457号(单号),20世纪初,三
5F033,公寓,公寓,长治路119-135 号（单号）、闵行路172号,1923,三
5F034,同仁医院,住宅,长治路155-159 号（单号）、南浔路193号,1920年代,三
5F035,住宅,住宅,唐山路753号,1923,三
5F036,住宅,住宅,塘沽路73 弄（8-22 号），南浔路140号,1900年代,三
5F037,住宅,住宅,舟山路394号,1924,三
5F038,商铺及住宅（隶属公益坊）,公寓,四川北路975-987号（单号），四川北路1297-1311 号（单号）,1931,三
5F039,住宅,住宅,高阳路165-167号（单号）,1920年代,三
5F040,皇家旅馆（Royal Hotel）,住宅,武进路393弄（14号）、武进路409号,1927,三
5G001,住宅,杨浦区人口和家庭计划指导服务中心1号楼,龙江路2号,不详,二
5G002,公共租界杨树浦路巡捕房营房旧址 （格兰路巡捕房）,隆昌公寓,隆昌路362号,1920年代,三
5G003,住宅,住宅,吉林路5号,不详,三
5G004,住宅,办公,平凉路250号,不详,三
5G005,聂家花园,市东小学,辽阳路51弄,1910年代,三
5G006,住宅,平凉路派出所,杨树浦路713号,不详,三
5G007,公共租界榆林路巡捕（1925-1943）旧址,杨浦区政府,江浦路549号,1930,四
5G008,住宅,住宅,平凉路629号,不详,三
5G009,聂中丞华童公学/缉槼中学教学楼,市东中学教学楼,荆州路42号,1916,二
5G010,公共租界杨树浦救火会旧址,上海市消防总队杨浦支队杨浦中队,杨树浦路1307号,1920,三
5G011,公共租界杨树浦路巡捕房（格兰路巡捕 房）旧址,上海市公安局杨浦分局、上海市国家安全局杨浦分局,平凉路2049号,1930,三
5G012,日商上海纺织株式会社旧址,杨树浦路2086号建筑群,杨树浦路2086号,1922,三
5G013,瑞瑢船厂旧址,上海船厂修船分厂,杨树浦路640号,1920年代,三
5G014,颐庆里住宅,住宅,景星路310、314弄（1-9号）,1932,三
5G015,大业印刷厂职员工房,住宅,福禄街193-209号（单号）,1910年代,三
5G016,住宅,住宅,龙江路50-66号双号,1929,三
5G017,华生印务公司/华一印刷股份有限公司,榆林路308号楼,"榆林308-312号（双
号）",1932,三
5G018,住宅,国顺路650弄住宅,国顺路650弄（1-78）号,花园住宅1930年代;公寓住宅1950、70年代分批建造,三
5G019,原上海浚浦局职员俱乐部,白庐,共青路386号,1930年代,三
5M001,住宅（Sou Yen Siao Cho Lane),住宅,愚园路789弄91-103号,1930年代,三
5M002,朱学仁住宅/中共长宁区委党校/长宁区人民法院,住宅,愚园路684号,1920年代,三
5M003,花园住宅,花园住宅,愚园路714号,1936年,三
5M004,梁兆来住宅,住宅,华山路978号,1948年,三
5M005,住宅,唐氏花园住宅,愚园路838弄20、22、30、32号,1930年,三
5M006,亨昌里,亨昌里,愚园路1376弄（4-42号）、1362-1374号（双号）,1925年,三
5M007,住宅,住宅,武夷路188号,不详,二
5M008,住宅,住宅,江苏路128号,不详,二
5M009,住宅,住宅,武夷路154号,不详,二
5M010,上海长征制药厂,弘基创意国际园,愚园路1107号（8、9号楼）,不详,三
